# BLASTN 2.12.0+
# Query: COL_SA_mg_mt_2342_27972-28964
# Database: file_blastn/db_Uniprot_nt_tcbq
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 65 hits found
COL_SA_mg_mt_2342_27972-28964	ENA|PMS26921|PMS26921.1	78.947	76	12	3	146	219	86	159	1.95e-08	49.1
COL_SA_mg_mt_2342_27972-28964	ENA|PMS26921|PMS26921.1	100.000	11	0	0	42	52	71	61	4.3	21.4
COL_SA_mg_mt_2342_27972-28964	ENA|PMS26921|PMS26921.1	83.333	24	3	1	861	884	323	301	4.3	21.4
COL_SA_mg_mt_2342_27972-28964	ENA|CAB3726997|CAB3726997.1	78.947	76	12	3	146	219	86	159	1.95e-08	49.1
COL_SA_mg_mt_2342_27972-28964	ENA|CAB3726997|CAB3726997.1	100.000	11	0	0	42	52	71	61	4.3	21.4
COL_SA_mg_mt_2342_27972-28964	ENA|CAB3726997|CAB3726997.1	83.333	24	3	1	861	884	323	301	4.3	21.4
COL_SA_mg_mt_2342_27972-28964	ENA|CAD5105989|CAD5105989.1	78.481	79	11	6	115	190	55	130	7.03e-08	47.3
COL_SA_mg_mt_2342_27972-28964	ENA|CAD5105989|CAD5105989.1	100.000	15	0	0	385	399	328	342	0.025	28.8
COL_SA_mg_mt_2342_27972-28964	ENA|CAD5105989|CAD5105989.1	78.947	38	8	0	820	857	772	809	0.092	27.0
COL_SA_mg_mt_2342_27972-28964	ENA|CAD5105989|CAD5105989.1	100.000	12	0	0	77	88	409	420	1.2	23.3
COL_SA_mg_mt_2342_27972-28964	ENA|CAD5105989|CAD5105989.1	81.250	32	3	3	730	759	682	712	1.2	23.3
COL_SA_mg_mt_2342_27972-28964	ENA|CAD5105989|CAD5105989.1	100.000	12	0	0	62	73	683	694	1.2	23.3
COL_SA_mg_mt_2342_27972-28964	ENA|CAD5105989|CAD5105989.1	100.000	11	0	0	332	342	240	230	4.3	21.4
COL_SA_mg_mt_2342_27972-28964	ENA|CAD5105989|CAD5105989.1	100.000	11	0	0	916	926	422	412	4.3	21.4
COL_SA_mg_mt_2342_27972-28964	ENA|MET4575932|MET4575932.1	78.082	73	12	4	288	358	249	319	9.09e-07	43.6
COL_SA_mg_mt_2342_27972-28964	ENA|MET4575932|MET4575932.1	85.714	28	2	2	153	179	111	137	0.025	28.8
COL_SA_mg_mt_2342_27972-28964	ENA|MET4575932|MET4575932.1	94.444	18	0	1	605	622	587	603	0.092	27.0
COL_SA_mg_mt_2342_27972-28964	ENA|MET4575932|MET4575932.1	80.000	30	6	0	832	861	808	837	1.2	23.3
COL_SA_mg_mt_2342_27972-28964	ENA|MDH6194915|MDH6194915.1	76.471	85	14	6	878	959	839	920	3.27e-06	41.7
COL_SA_mg_mt_2342_27972-28964	ENA|MDH6194915|MDH6194915.1	78.182	55	8	4	377	429	332	384	0.002	32.5
COL_SA_mg_mt_2342_27972-28964	ENA|MDH6194915|MDH6194915.1	100.000	11	0	0	915	925	316	306	4.3	21.4
COL_SA_mg_mt_2342_27972-28964	ENA|MDH6194915|MDH6194915.1	92.857	14	1	0	309	322	532	519	4.3	21.4
COL_SA_mg_mt_2342_27972-28964	ENA|MDH6194915|MDH6194915.1	92.857	14	1	0	257	270	715	702	4.3	21.4
COL_SA_mg_mt_2342_27972-28964	ENA|MET4579626|MET4579626.1	85.000	40	6	0	148	187	199	238	3.27e-06	41.7
COL_SA_mg_mt_2342_27972-28964	ENA|MET4579626|MET4579626.1	76.271	59	12	2	369	426	429	486	0.007	30.7
COL_SA_mg_mt_2342_27972-28964	ENA|MET4579626|MET4579626.1	94.444	18	0	1	605	622	677	693	0.092	27.0
COL_SA_mg_mt_2342_27972-28964	ENA|CAG7612942|CAG7612942.1	75.248	101	18	7	93	189	51	148	3.27e-06	41.7
COL_SA_mg_mt_2342_27972-28964	ENA|CAG7612942|CAG7612942.1	81.395	43	8	0	378	420	336	378	1.52e-04	36.2
COL_SA_mg_mt_2342_27972-28964	ENA|CAG7612942|CAG7612942.1	74.684	79	16	4	832	908	772	848	0.002	32.5
COL_SA_mg_mt_2342_27972-28964	ENA|CAG7612942|CAG7612942.1	90.000	20	2	0	337	356	295	314	0.092	27.0
